"","V1","V2","V3","V4","V5","V6"
"EXR",0.0745826903887938,29.9163238927971,-29.9999080339504,-0.0341679541356429,0.0979132329027112,4.99999999997498
"F",0.0746392674574749,26.3567270162467,-26.5854615166234,-0.0347262106608282,0.0322152592167037,4.99999999997567
"FAST",0.0746390205653713,9.97792909691148,-10.2187511353615,-0.0347249528694939,0.0305989908629636,4.99999999998487
"FB",0.0746386723112569,29.4741272904154,-29.6757777235026,-0.0347231354576936,0.0365444214755942,4.99999999997683
"FBHS",0.0746388142740283,29.4406095825486,-29.6311934847781,-0.0347239548252797,0.0386650051152675,4.99999999995188
"FCX",0.0745849241055469,29.9162785183025,-29.9998933188965,-0.0341763700285466,0.0979357276152082,4.99999999999151
"FDX",0.0745824959366652,29.9163272221416,-29.9999121756612,-0.0341669218769624,0.097915760270572,4.99999999998802
"FE",0.0745827072343275,29.9162414002773,-29.9998246658971,-0.0341681236515082,0.0979118321302161,4.99999999997677
"FFIV",0.074582877631682,29.9163786919144,-29.9999633049975,-0.0341688607929755,0.0979122719663898,4.999999999995
"FIS",0.074582435400763,29.9162190941555,-29.9998038496164,-0.0341666341369551,0.0979158607435873,4.99999999998834
"FISV",0.0763487660758086,-0.0157737972726979,0.033756666792339,-0.0555403669504982,2.49999999999937,4.99999999994548
"FITB",0.0746389933476402,13.8416475938434,-14.0785642637039,-0.0347246858947316,0.0311044428306602,4.99999999998973
"FL",0.0746394754091928,28.7584081955436,-28.9763328584493,-0.0347271267251172,0.0338138837269884,4.99999999999855
"FLIR",0.0746389135348671,29.417671375675,-29.606444016801,-0.0347243794814725,0.0390362088346042,4.99999999976971
"FLR",0.0746393833567673,29.7105734200164,-29.9056453329011,-0.0347266377358139,0.0377756427609973,4.99999999994033
"FLS",0.0746393846202513,29.7543636849621,-29.9510873254722,-0.0347266371192943,0.0374585265852869,4.99999999998545
"FMC",0.0746389271109505,29.136239705702,-29.3464341693545,-0.0347242126616246,0.0350602679315719,4.9999999999846
"FOX",0.0746390568914038,16.4421358275511,-16.6810661354762,-0.034725182988706,0.0308408824935292,4.99999999999693
"FOXA",0.0746390824095766,4.31389686753147,-4.61882467277149,-0.0347252779874108,0.024165820775766,4.99999999999416
"FRT",0.0746389170357942,29.5654316705658,-29.7707187614685,-0.0347245638236649,0.0358945905576952,4.99999999998915
"FTI",0.0745835266725695,29.9162652633791,-29.9998452664479,-0.0341724937062607,0.0979010895452516,4.99999999998793
"FTV",0.0745820638238089,29.9163510693372,-29.9999384563012,-0.0341645402223769,0.0979223418903252,4.9999999999984
"GD",0.0746386913321149,19.0801274534469,-19.3283689355623,-0.0347234038221073,0.0296842234145114,4.99999999999741
"GE",0.0745825893581747,29.9160161081176,-29.9995985367239,-0.0341675924471436,0.0979121805168076,4.99999999997346
"GGP",0.0745829156156914,29.9163294617796,-29.9999126105611,-0.0341691754706401,0.0979100711430891,4.99999999999847
"GILD",0.0746394198502951,2.86344596390607,-3.16729739963214,-0.0347269465617171,0.0242510434668358,4.99999999997679
"GIS",0.0746389956548928,29.6066623576337,-29.7701485135552,-0.0347249052513816,0.0450711728655868,4.99999999052339
"GLW",0.0746383617560748,29.2768378868925,-29.4230401307265,-0.0347230978055035,0.0503966590272577,4.99999965837032
"GM",0.0746389736938134,15.5276228605507,-15.8170635293725,-0.0347246955566629,0.0254593629538208,4.9999999999975
"GOOG",0.0746387417317198,18.3623451551429,-18.5910082220529,-0.0347235932033981,0.0322262300528219,4.99999999999924
"GOOGL",0.0745823859877015,29.9163044267786,-29.9998892566566,-0.0341663671987041,0.0979166911248949,4.99999999999715
"GPC",0.0746389954611152,28.6169106515467,-28.7638616702209,-0.0347252130189967,0.0501390002304349,4.99999997851227
"GPN",0.0745824204636473,29.9163707014889,-29.9999590178256,-0.0341662563034014,0.0979208119115956,4.99999999999888
"GPS",0.0745835059552587,29.9163372507108,-29.9999258672739,-0.0341716028694978,0.0979127640625996,4.99999999995331
"GRMN",0.0746155279362325,26.1952823310963,-26.2776910947506,-0.034595296531262,0.0930952143418823,4.9970546827965
"GS",0.0746389936420023,18.7562634341136,-19.0262814789353,-0.0347247838222366,0.0272906673637429,4.99999999996914
